"Names","Value","Quantity","Manufacturer","Manufacturer Part Number","RS PN","Component"
"J1",,1,"SAMTEC","SSW-106-02-G-D-RA","7655679P","SSW-106-02-G-D-RA"
"J2",,1,"Molex",53398-0871,"6563030P",53398-0871
"J3",,1,"Seeedstudio",110990030,179-3735,"Grove_Universal_4_Pin_connector"
"LED1",,1,"OSRAM","LG Q396",915-4709,"LED"
"LED2",,1,"OSRAM","LY Q396",915-4709,"LED"
"R1-2","330R",2,"TE Connectivity","CRG0603F330R",213-2200,"Resistor"
"Sub-total:",,7,,,,
